type,name,total,correct,rate
relation_group,containment,116,83,0.7155172413793104
relation_group,distance,173,98,0.5664739884393064
relation_group,horizontal,168,138,0.8214285714285714
relation_group,vertical,519,375,0.7225433526011561
relation_family_v2,containment,116,83,0.7155172413793104
relation_family_v2,distance,173,98,0.5664739884393064
relation_family_v2,horizontal,384,266,0.6927083333333334
relation_family_v2,vertical,303,247,0.8151815181518152
label,False,468,371,0.7927350427350427
label,True,508,323,0.6358267716535433
bbox_relation_v2,right_of,199,,
bbox_relation_v2,left_of,185,,
bbox_relation_v2,above,176,,
bbox_relation_v2,below,127,,
bbox_relation_v2,near,89,,
bbox_relation_v2,far_from,84,,
bbox_relation_v2,outside,72,,
bbox_relation_v2,inside,44,,
failure_reason,missing_subject_or_object,432,,
